rainfall_mm,temperature_c,humidity_pct,river_level_m,elevation_m,soil_moisture,drainage_capacity_pct,population_density,impervious_pct,wind_speed_kmh,land_use_type,previous_flood_history,flood_risk_score,flood_risk
28.5,36.22,100.0,3.58,36.53,0.298,37.98,3901.4,47.87,7.65,Forest,0,0.4059,Medium
85.94,24.14,70.56,1.95,203.18,0.405,29.55,5623.1,40.66,15.75,Coastal,1,0.5482,Medium
53.03,20.82,66.18,5.54,46.23,0.571,64.13,2546.1,72.51,6.18,Agricultural,1,0.7193,High
30.43,25.15,77.97,6.64,69.08,0.246,37.62,6235.9,87.55,10.24,Forest,1,0.7861,High
23.42,19.49,61.01,5.15,229.75,0.266,72.81,1315.4,50.69,7.92,Urban,0,0.4596,Medium
64.69,34.99,69.28,5.02,81.42,0.343,41.54,4810.4,45.54,7.65,Agricultural,0,0.4749,Medium
84.59,27.37,49.92,2.27,15.74,0.621,33.42,503.6,51.6,14.07,Agricultural,0,0.688,High
79.53,23.63,53.81,3.84,53.52,0.279,67.43,1032.8,51.16,5.07,Suburban,0,0.5392,Medium
20.03,31.8,48.55,4.3,201.73,0.146,78.61,2725.0,40.28,4.94,Urban,0,0.4072,Medium
32.46,15.93,72.02,7.39,8.82,0.431,88.21,3253.8,44.23,6.16,Coastal,0,0.4128,Medium
28.04,9.5,53.03,1.57,160.98,0.39,76.65,526.8,100.0,2.92,Coastal,0,0.4913,Medium
35.96,26.95,79.04,2.71,160.41,0.369,50.21,2617.3,68.53,2.26,Suburban,1,0.7505,High
73.78,31.52,49.42,5.3,70.53,0.394,58.34,4617.1,43.81,14.02,Agricultural,0,0.5148,Medium
102.56,23.0,47.59,7.83,2.46,0.221,31.99,981.5,36.25,0.81,Barren,0,0.7009,High
54.46,19.25,69.29,3.06,33.62,0.422,51.45,4816.3,15.69,8.87,Suburban,0,0.4163,Medium
24.12,17.3,67.49,9.13,38.47,0.544,78.64,617.3,6.08,5.41,Agricultural,0,0.3944,Medium
40.52,15.36,80.43,3.0,172.56,0.515,60.29,4918.0,68.53,2.56,Urban,0,0.4664,Medium
115.31,28.66,43.72,2.67,92.58,0.532,71.25,8713.0,62.69,18.17,Forest,1,0.4299,Medium
44.54,29.73,37.31,3.65,49.05,0.673,33.94,1902.9,47.52,13.03,Agricultural,0,0.4785,Medium
32.74,30.43,86.89,2.46,114.85,0.292,22.84,5092.0,54.92,9.88,Coastal,0,0.412,Medium
34.97,24.05,40.62,4.68,13.3,0.327,54.67,2234.9,30.49,4.97,Coastal,0,0.43,Medium
54.29,15.91,79.94,6.36,651.6,0.242,46.53,6200.9,66.96,11.83,Urban,1,0.5487,Medium
20.64,19.0,22.67,5.87,9.55,0.628,57.24,1711.2,46.67,7.51,Agricultural,0,0.4478,Medium
27.48,28.19,75.22,5.99,207.99,0.378,67.66,2206.8,17.52,12.32,Forest,0,0.0874,Low
78.74,16.74,64.8,3.99,69.93,0.484,73.95,644.8,90.71,31.39,Suburban,1,0.6554,Medium
53.2,23.29,72.29,4.73,262.31,0.375,48.93,210.6,41.69,2.33,Coastal,0,0.4376,Medium
44.88,16.88,78.81,1.05,26.6,0.251,67.27,5348.8,14.09,12.33,Agricultural,0,0.489,Medium
81.4,19.12,82.05,2.53,96.03,0.314,49.61,3312.0,32.88,11.12,Agricultural,0,0.2984,Low
22.87,15.94,73.37,6.39,108.23,0.287,53.59,2211.0,79.47,1.62,Agricultural,0,0.5578,Medium
31.96,24.11,,3.87,75.05,0.19,72.97,968.5,0.0,7.02,Wetland,0,0.3578,Medium
51.97,13.76,85.21,4.4,39.5,0.09,32.9,255.4,87.42,16.27,Suburban,0,0.4362,Medium
50.67,18.68,87.94,5.32,199.45,0.429,81.64,3776.1,88.28,6.36,Suburban,0,0.5182,Medium
10.65,29.96,74.33,0.0,27.79,0.417,23.51,1032.4,28.54,11.55,Forest,0,0.4709,Medium
29.51,31.34,47.95,4.96,36.36,0.478,63.29,316.5,52.24,2.48,Agricultural,1,0.554,Medium
36.67,28.7,60.48,3.37,63.84,0.504,95.63,941.4,59.89,36.85,Coastal,0,0.4022,Medium
56.12,33.91,63.21,6.3,212.96,0.266,40.62,2113.2,47.52,16.13,Forest,0,0.4812,Medium
50.54,14.76,52.76,4.27,0.97,0.646,48.77,2705.7,66.21,7.08,Agricultural,0,0.5533,Medium
39.31,23.36,44.37,2.26,269.55,0.483,62.49,971.0,60.58,14.41,Forest,0,0.389,Medium
5.35,24.53,81.65,3.49,94.34,0.388,39.54,4342.6,49.01,9.19,Suburban,1,0.472,Medium
40.82,37.66,70.41,1.71,11.93,0.446,58.17,3060.4,44.5,12.13,Suburban,0,0.3863,Medium
43.64,22.34,52.96,7.32,30.22,0.165,75.23,1076.3,56.85,18.85,Suburban,1,0.4689,Medium
182.45,29.61,65.68,6.64,8.9,0.417,54.09,5994.0,40.18,9.2,Forest,0,0.6516,Medium
35.76,35.86,70.41,6.76,71.55,0.509,22.5,10.0,52.44,27.95,Agricultural,0,0.52,Medium
52.18,24.91,44.24,6.45,2.28,0.241,72.14,5408.7,6.27,28.37,Suburban,0,0.5052,Medium
90.51,20.72,50.63,3.21,135.22,0.355,47.9,2724.2,36.81,29.53,Forest,1,0.4473,Medium
70.95,21.32,59.35,5.08,15.14,0.259,100.0,2757.9,37.49,5.98,Coastal,1,0.5143,Medium
105.32,12.02,62.21,5.85,27.45,0.647,89.59,3393.6,43.23,22.31,Urban,1,0.6851,High
10.82,20.79,36.29,5.64,1.77,0.635,53.82,754.4,33.17,15.69,Urban,0,0.6106,Medium
17.18,14.05,78.43,5.7,32.05,0.26,70.11,2969.8,11.3,5.69,Urban,0,0.2779,Low
25.93,29.48,65.56,3.26,4.59,0.662,42.11,906.1,3.8,6.24,Urban,0,0.4822,Medium
8.98,13.06,60.53,5.45,12.1,0.281,78.85,726.8,27.8,18.56,Coastal,0,0.5023,Medium
43.92,26.75,52.13,5.21,392.93,0.373,68.7,867.9,67.71,21.58,Urban,0,0.4199,Medium
18.48,31.96,,2.24,11.32,0.327,84.17,572.5,40.66,11.51,Agricultural,0,0.4281,Medium
114.38,29.1,65.29,3.8,185.02,0.525,37.97,3752.8,50.86,10.19,Coastal,1,0.8526,High
21.16,20.62,67.84,5.56,124.16,0.064,55.66,8102.1,0.58,28.22,Agricultural,0,0.2382,Low
32.11,29.35,100.0,4.13,41.55,0.613,98.23,199.9,78.77,34.29,Coastal,0,0.5238,Medium
73.82,24.07,100.0,4.54,236.39,0.369,95.28,1916.4,25.43,11.91,Coastal,1,0.5153,Medium
13.23,20.8,55.38,2.62,77.29,0.207,49.85,3048.3,85.13,21.65,Urban,0,0.5372,Medium
8.34,21.46,47.74,6.4,41.95,0.238,33.89,831.2,65.56,17.12,Barren,1,0.5548,Medium
47.91,27.1,42.21,7.4,191.75,0.248,57.45,981.2,48.18,0.89,Agricultural,0,0.3038,Low
50.63,13.1,66.58,3.17,142.83,0.266,49.57,527.8,2.74,8.32,Suburban,0,0.2273,Low
72.34,20.47,42.54,6.52,10.0,0.576,71.1,1041.1,36.04,3.56,Wetland,0,0.5857,Medium
60.88,26.62,40.17,6.02,47.98,0.217,71.73,1633.4,38.5,2.48,Urban,0,0.4925,Medium
52.01,20.41,51.78,3.38,131.2,0.27,44.44,297.5,47.11,,Suburban,1,0.5194,Medium
23.35,14.96,54.02,3.05,35.48,0.432,45.18,393.0,29.38,4.08,Forest,1,0.415,Medium
49.62,17.76,51.67,6.04,114.55,0.61,45.12,790.4,27.54,23.84,Barren,0,0.4898,Medium
51.86,25.2,35.88,0.73,43.21,0.309,51.73,489.9,26.32,6.86,Suburban,1,0.2806,Low
22.6,27.38,63.36,0.0,27.89,0.426,63.29,8055.9,21.57,19.91,Coastal,1,0.4442,Medium
135.55,31.59,63.04,8.12,52.53,0.624,53.49,64.0,46.11,2.0,Urban,1,0.5974,Medium
58.91,29.47,89.08,4.7,53.72,0.521,30.69,662.7,16.09,12.46,Agricultural,0,0.3441,Medium
17.46,29.38,42.64,5.13,128.06,0.427,78.09,1090.4,19.64,0.55,Barren,0,0.2174,Low
72.58,10.55,74.48,10.14,107.26,0.68,32.9,3496.5,76.58,8.49,Forest,0,0.5998,Medium
81.13,29.27,97.13,5.31,68.27,0.445,56.34,1096.6,26.74,6.06,Barren,0,0.4374,Medium
56.46,20.38,38.78,5.52,165.02,0.517,44.17,1849.3,46.34,2.62,Forest,1,0.5464,Medium
34.24,13.91,45.37,3.88,238.7,0.215,81.28,119.7,83.53,12.3,Urban,0,0.3992,Medium
21.77,27.91,42.36,3.25,10.3,0.052,74.6,980.0,67.23,7.21,Suburban,1,0.386,Medium
39.23,25.25,73.05,1.82,121.85,0.386,53.05,3636.6,67.45,6.03,Urban,1,0.617,Medium
53.68,30.19,72.34,5.84,149.63,0.612,88.86,3475.8,47.82,9.98,Urban,0,0.5736,Medium
42.09,20.26,82.16,4.69,69.24,0.422,82.42,1326.2,44.46,10.92,Barren,0,0.2551,Low
108.39,23.96,,3.0,7.01,0.435,36.45,3648.6,70.48,6.81,Agricultural,1,0.7614,High
65.3,11.39,97.42,6.8,69.35,0.278,66.35,1353.5,14.46,25.23,Suburban,0,0.6394,Medium
19.67,37.73,74.75,3.08,247.59,0.289,56.04,1093.8,34.97,25.92,Urban,1,0.5061,Medium
15.78,14.63,87.65,4.4,21.11,0.428,48.46,467.8,22.53,4.59,Forest,0,0.4202,Medium
59.26,18.33,67.79,5.85,54.39,0.509,37.84,791.9,48.83,10.78,Suburban,0,0.4932,Medium
34.86,16.78,58.06,4.89,162.99,0.779,77.27,1762.3,35.18,6.56,Suburban,1,0.5897,Medium
69.22,25.45,61.82,4.32,249.49,0.292,72.7,3072.2,48.94,17.3,Urban,0,0.4866,Medium
58.88,18.06,89.7,1.68,294.62,0.358,51.47,195.0,61.19,8.78,Agricultural,1,0.4521,Medium
39.36,31.55,79.3,4.95,180.59,0.351,46.42,6831.5,71.5,18.53,Urban,0,0.6059,Medium
19.88,26.2,78.2,6.41,108.28,0.576,50.07,606.6,55.15,11.03,Suburban,0,0.5862,Medium
9.4,13.57,82.86,1.61,51.59,0.298,46.81,233.3,47.67,18.4,Coastal,0,0.4403,Medium
48.97,29.46,69.75,1.59,80.18,0.043,76.91,665.5,21.01,23.06,Urban,1,0.4788,Medium
13.01,30.38,100.0,7.41,0.99,0.48,46.51,1493.9,12.4,15.78,Barren,1,0.5019,Medium
19.16,18.9,60.96,2.05,51.74,0.079,65.08,2286.5,54.95,2.5,Forest,0,0.103,Low
46.83,15.99,66.96,3.27,154.94,0.517,40.81,2092.8,18.49,7.32,Urban,0,0.4601,Medium
43.57,26.79,56.92,3.79,127.84,0.0,57.5,2379.7,84.05,21.08,Forest,0,0.3341,Medium
14.59,28.61,73.98,5.98,0.99,0.487,24.98,377.7,53.85,6.68,Suburban,0,0.5732,Medium
87.31,16.98,33.34,1.77,95.09,0.413,79.76,3454.8,31.84,6.88,Suburban,0,0.4448,Medium
85.77,30.46,11.73,4.26,0.88,0.529,36.92,1496.9,20.46,12.16,Suburban,1,0.5706,Medium
60.6,19.98,53.36,2.08,54.18,0.194,33.15,1148.1,48.22,26.81,Suburban,0,0.3171,Low
60.55,32.28,75.51,9.16,560.4,0.536,77.03,4280.1,84.72,0.55,Coastal,0,0.555,Medium
60.6,12.94,83.48,3.29,63.22,0.411,39.06,15903.8,40.37,34.46,Urban,1,0.5865,Medium
80.66,18.87,42.31,2.67,268.06,0.391,64.52,937.4,29.48,3.17,Urban,0,0.4948,Medium
66.42,22.54,35.01,3.1,1.93,0.156,74.21,2586.1,84.02,3.01,Coastal,0,0.5905,Medium
21.37,17.06,51.99,3.81,152.63,0.49,59.34,3800.9,39.15,0.92,Agricultural,0,0.4628,Medium
34.48,23.78,51.68,4.69,73.25,0.396,59.3,534.8,0.0,17.55,Forest,0,0.2765,Low
169.91,21.57,68.91,7.27,95.0,0.35,47.47,957.5,67.23,9.72,Wetland,0,0.7399,High
5.79,22.53,67.26,2.31,590.47,0.444,56.17,1157.4,14.68,19.36,Urban,0,0.1993,Low
28.22,21.17,91.4,2.61,43.71,0.186,86.2,3875.3,8.56,46.52,Coastal,1,0.4232,Medium
87.62,14.97,57.55,0.33,237.64,0.633,45.77,7268.3,26.25,1.72,Suburban,0,0.533,Medium
22.58,23.84,41.06,1.85,297.29,0.267,48.75,9093.4,26.86,4.68,Forest,1,0.5367,Medium
67.67,23.12,70.49,3.32,42.4,0.446,41.12,4698.7,52.02,5.21,Suburban,1,0.7629,High
43.15,16.94,47.62,7.83,5.84,0.336,100.0,2118.9,29.96,7.27,Barren,0,0.517,Medium
23.98,32.74,47.9,4.41,185.08,0.208,42.01,164.2,1.64,8.34,Agricultural,0,0.3102,Low
4.53,26.2,95.57,3.28,325.19,0.333,53.08,2478.8,63.62,11.52,Urban,1,0.5145,Medium
47.98,29.04,81.75,7.86,77.92,0.445,24.48,2904.1,30.16,21.77,Forest,0,0.4696,Medium
20.97,18.34,57.32,3.63,249.34,0.352,73.33,3359.7,34.12,2.98,Forest,1,0.4141,Medium
38.07,7.84,97.8,2.54,29.93,0.346,100.0,2091.9,34.19,16.18,Urban,1,0.5598,Medium
60.18,36.21,79.94,2.82,169.71,0.596,46.15,2604.2,31.49,4.18,Urban,1,0.6752,High
76.32,25.18,71.99,2.32,145.84,0.316,28.9,476.3,51.11,23.55,Coastal,0,0.5978,Medium
28.14,26.55,52.8,2.52,89.95,0.611,30.2,170.8,37.26,30.12,Forest,0,0.3128,Low
23.94,26.24,27.95,4.35,46.11,0.394,94.51,450.4,28.48,15.8,Wetland,0,0.4159,Medium
12.78,26.79,49.61,3.7,34.62,0.376,12.83,20.2,63.13,9.79,Coastal,0,0.6064,Medium
78.87,16.55,,7.09,152.22,0.414,27.98,6367.5,61.34,23.33,Urban,0,0.6159,Medium
154.54,16.8,43.46,6.28,101.56,0.422,96.56,927.7,30.04,2.45,Urban,0,0.534,Medium
84.66,16.82,67.23,7.02,238.76,0.325,80.34,2591.7,41.0,10.64,Agricultural,1,0.409,Medium
97.39,27.86,28.31,8.02,206.08,0.58,37.89,4423.6,43.42,24.93,Suburban,0,0.5691,Medium
22.75,15.51,88.95,5.91,23.2,0.141,57.21,496.9,72.02,9.9,Forest,1,0.6509,Medium
57.7,13.3,56.77,2.7,28.96,0.112,94.61,596.4,63.41,2.7,Agricultural,0,0.3076,Low
72.0,19.5,78.31,4.33,345.76,0.547,45.34,350.3,0.0,7.66,Urban,1,0.3876,Medium
16.58,22.09,78.09,6.66,56.67,0.086,73.51,9346.0,24.49,20.92,Agricultural,0,0.2684,Low
119.68,23.65,42.78,8.44,95.09,0.824,62.75,3204.9,51.28,17.34,Urban,1,0.8614,High
10.46,20.6,33.67,4.57,65.94,0.433,8.79,3081.6,83.14,7.39,Urban,0,0.6877,High
107.64,27.39,53.48,9.55,99.66,0.657,92.16,2406.9,68.03,29.15,Suburban,0,0.7401,High
10.38,32.17,71.76,3.18,135.0,0.482,55.06,5901.7,56.24,9.48,Wetland,0,0.4763,Medium
17.34,24.34,67.46,5.07,54.35,0.224,31.65,110.9,20.98,16.97,Agricultural,0,0.2073,Low
58.43,32.13,85.98,1.54,48.38,0.295,83.79,2611.9,40.8,16.73,Forest,0,0.3923,Medium
43.96,27.85,72.06,4.81,223.74,0.0,25.87,1103.9,79.02,1.28,Forest,0,0.3806,Medium
30.43,17.31,73.38,5.95,115.39,0.531,59.54,4658.7,40.12,15.77,Agricultural,0,0.4523,Medium
116.68,18.07,50.45,8.13,230.52,0.503,41.03,56.2,20.79,5.28,Suburban,0,0.5308,Medium
13.12,17.72,60.41,0.0,243.63,0.614,63.77,1305.6,63.65,10.4,Barren,0,0.3429,Medium
36.96,22.66,60.89,1.2,21.16,0.228,62.73,277.0,40.88,6.51,Agricultural,0,0.3473,Medium
63.68,22.05,76.12,3.61,193.49,0.479,54.53,3457.4,34.53,5.83,Forest,1,0.5112,Medium
51.41,28.16,78.55,0.0,276.65,0.612,74.22,3429.0,58.46,5.35,Wetland,1,0.4232,Medium
24.63,22.9,60.82,4.69,69.34,0.257,93.09,2460.0,28.91,52.15,Suburban,0,0.2644,Low
25.39,25.73,61.41,8.08,84.38,0.512,42.8,1212.7,72.98,7.55,Forest,0,0.5508,Medium
75.54,15.83,71.33,4.08,56.46,0.426,49.78,4533.7,16.36,18.5,Wetland,1,0.6322,Medium
77.97,25.69,99.79,6.68,19.59,,40.39,1023.1,72.66,9.78,Urban,1,0.7541,High
52.39,20.65,33.69,4.57,91.54,0.388,57.44,2765.1,38.24,9.21,Barren,0,0.2784,Low
20.23,20.14,48.37,2.37,60.85,0.506,69.45,3927.2,9.95,9.0,Urban,1,0.4842,Medium
26.08,19.47,49.1,1.69,207.67,0.363,100.0,647.4,64.42,7.01,Barren,1,0.2528,Low
41.0,34.58,41.31,5.92,79.75,0.247,50.97,363.2,69.61,6.42,Agricultural,0,0.4704,Medium
45.57,15.74,50.68,5.94,376.45,0.206,58.78,717.8,5.28,8.73,Suburban,1,0.3874,Medium
61.94,28.74,71.78,4.75,160.13,0.377,74.0,1540.3,34.23,12.28,Agricultural,0,0.4431,Medium
35.48,23.67,82.02,4.84,31.79,0.382,67.44,59.0,37.31,9.45,Coastal,1,0.6005,Medium
74.39,14.48,69.14,8.84,61.81,0.421,67.86,1284.9,35.98,16.11,Agricultural,1,0.6827,High
73.82,21.92,68.78,8.14,113.94,0.173,97.46,245.7,36.48,14.05,Coastal,1,0.5718,Medium
99.6,7.64,48.46,2.16,17.36,0.312,77.1,1121.1,64.84,3.79,Suburban,0,0.5046,Medium
42.35,36.04,17.06,1.0,85.23,0.278,77.96,4854.5,19.76,4.81,Urban,1,0.536,Medium
53.03,21.42,71.75,6.05,243.49,0.582,43.19,1411.9,26.49,8.12,Suburban,0,0.4175,Medium
37.61,31.81,89.01,0.93,23.03,0.073,74.67,2590.1,44.67,10.18,Wetland,0,0.4333,Medium
20.44,33.42,82.25,5.1,10.59,0.295,32.89,2012.5,82.39,11.49,Agricultural,0,0.2442,Low
152.25,20.02,63.3,7.82,82.44,0.478,60.39,296.4,0.0,5.66,Suburban,0,0.5239,Medium
91.34,24.21,66.39,3.3,265.93,0.247,45.08,934.0,18.61,6.03,Urban,1,0.4345,Medium
72.8,25.3,90.27,4.63,145.67,0.426,57.25,9551.8,87.74,8.71,Suburban,0,0.7475,High
41.27,37.3,52.47,5.82,102.54,0.226,71.74,6536.5,59.39,5.02,Forest,0,0.399,Medium
18.9,22.66,56.85,3.16,23.07,0.451,45.28,2472.3,54.13,21.14,Agricultural,0,0.2878,Low
81.73,23.62,32.6,6.83,162.96,0.489,37.07,443.0,40.26,8.99,Urban,0,0.6443,Medium
37.1,14.21,73.37,3.83,134.64,0.303,65.9,5433.3,4.03,5.06,Agricultural,1,0.2041,Low
56.47,17.74,56.0,5.55,380.19,0.518,84.04,1904.6,50.68,38.2,Urban,0,0.3449,Medium
25.99,20.5,59.62,0.93,15.85,0.29,100.0,1294.0,18.49,6.48,Forest,0,0.1419,Low
50.08,33.11,77.28,4.64,48.1,0.263,68.46,841.2,80.24,7.54,Agricultural,0,0.53,Medium
27.35,37.25,51.47,5.41,79.26,0.534,63.05,655.4,63.53,7.58,Suburban,0,0.5636,Medium
28.24,27.51,73.96,2.85,122.72,0.551,41.92,6583.0,71.57,19.23,Urban,1,0.696,High
49.61,26.46,74.89,2.95,76.16,0.421,35.94,1359.9,40.5,15.99,Forest,0,0.5492,Medium
10.23,28.79,58.51,6.34,59.12,0.411,90.98,129.5,5.19,15.28,Suburban,0,0.3689,Medium
10.75,19.21,80.11,5.63,55.37,0.516,56.71,4787.5,100.0,8.82,Coastal,1,0.7309,High
22.51,33.73,63.15,4.56,12.09,0.393,56.56,593.1,20.59,,Agricultural,0,0.4392,Medium
35.15,13.98,77.88,5.61,63.13,0.362,96.84,1422.8,71.41,7.04,Urban,0,0.528,Medium
75.93,20.82,53.91,1.16,34.77,0.429,68.64,2236.6,51.62,15.44,Agricultural,0,0.4948,Medium
36.71,28.57,75.53,4.51,41.33,0.281,83.9,2669.3,0.0,12.53,Forest,0,0.1986,Low
41.07,20.63,58.61,2.5,0.4,0.368,58.85,10449.9,0.0,25.3,Wetland,0,0.4203,Medium
33.03,41.28,71.04,4.25,4.41,0.258,74.0,629.1,9.5,15.86,Urban,0,0.3661,Medium
52.97,28.67,71.36,1.22,40.22,0.4,71.55,874.0,16.1,26.01,Forest,0,0.2792,Low
20.26,30.88,57.82,5.49,25.46,0.203,55.04,2683.2,70.53,7.59,Suburban,1,0.4419,Medium
38.25,18.69,57.3,1.96,97.97,0.518,72.73,1416.3,84.51,15.76,Suburban,1,0.6193,Medium
56.02,30.75,61.18,10.32,86.31,0.325,60.47,1249.7,24.36,10.29,Agricultural,1,0.5577,Medium
49.33,29.67,66.29,4.31,231.0,0.393,59.75,3084.0,66.68,1.88,Barren,0,0.4418,Medium
42.07,34.95,75.33,3.32,7.6,0.302,55.74,1401.6,0.0,4.31,Agricultural,0,0.2862,Low
42.46,8.65,69.27,4.04,139.5,0.491,41.84,1656.9,48.14,10.08,Coastal,0,0.544,Medium
59.89,18.54,11.03,0.82,288.02,0.408,83.92,206.0,17.91,10.71,Forest,0,0.203,Low
156.95,26.35,80.4,5.31,115.8,0.504,34.86,1720.4,54.43,7.49,Wetland,0,0.7795,High
21.48,26.56,72.26,6.19,227.71,0.279,57.31,3056.8,35.69,3.62,Urban,0,0.4046,Medium
159.83,23.68,86.2,6.62,102.34,0.464,65.78,237.9,69.28,11.24,Agricultural,0,0.5558,Medium
20.64,13.3,80.28,3.08,180.38,0.583,5.0,100.0,33.73,5.22,Agricultural,0,0.4007,Medium
3.84,25.38,57.39,7.13,8.31,0.251,42.54,3238.2,29.87,8.15,Urban,0,0.4427,Medium
26.9,26.16,44.0,2.92,21.82,0.19,100.0,274.8,52.65,33.58,Coastal,1,0.4211,Medium
53.7,23.98,97.52,3.65,11.3,0.266,72.84,873.2,76.38,1.8,Urban,0,0.3963,Medium
136.29,23.74,88.1,3.41,291.25,0.903,71.32,2640.9,39.44,8.49,Suburban,1,0.6237,Medium
18.88,30.6,78.43,1.24,101.02,0.204,80.66,4749.3,2.12,25.29,Wetland,0,0.1821,Low
59.65,22.92,50.67,6.7,50.2,0.515,68.33,1163.0,27.48,5.64,Agricultural,1,0.6199,Medium
11.93,15.25,41.56,2.53,91.18,0.441,85.29,3186.3,55.26,6.36,Agricultural,1,0.3513,Medium
133.13,33.82,57.18,5.72,1.1,0.388,67.07,2355.1,34.76,3.62,Suburban,0,0.6532,Medium
92.5,33.43,80.48,3.71,141.71,0.289,41.14,2276.2,59.02,4.99,Forest,0,0.5685,Medium
28.28,23.72,21.68,6.83,36.6,0.562,86.91,342.0,66.79,29.84,Coastal,0,0.5566,Medium
102.42,30.13,51.92,7.1,33.97,0.27,42.06,956.6,31.74,8.99,Suburban,1,0.5843,Medium
38.08,13.33,100.0,1.13,33.56,0.315,51.75,76.8,62.92,5.96,Coastal,1,0.5375,Medium
95.75,22.99,58.59,5.55,44.54,0.488,58.52,2127.6,6.15,5.99,Wetland,1,0.4415,Medium
41.84,12.0,65.67,4.49,130.88,0.115,45.39,1787.9,53.24,13.08,Agricultural,0,0.4271,Medium
43.2,31.87,64.53,6.5,116.95,0.424,42.35,2739.5,60.71,6.33,Urban,0,0.5949,Medium
28.76,13.53,96.04,4.82,108.37,0.382,57.2,297.9,52.07,10.64,Forest,1,0.5112,Medium
65.18,21.12,59.19,6.96,43.43,0.157,41.2,5923.9,94.18,2.45,Suburban,1,0.5539,Medium
45.67,25.51,32.66,6.17,166.05,0.501,69.61,4941.1,47.36,23.79,Agricultural,0,0.3616,Medium
60.57,29.77,83.55,5.67,486.64,0.309,53.44,2810.3,63.81,3.75,Agricultural,1,0.332,Medium
9.18,27.69,45.76,6.1,118.77,0.552,39.34,623.1,34.28,24.68,Agricultural,0,0.5125,Medium
98.0,32.0,38.14,4.02,91.74,0.448,66.72,2457.4,64.47,5.18,Agricultural,0,0.5961,Medium
114.46,29.63,92.47,4.45,22.98,0.278,55.02,6878.8,59.89,7.68,Agricultural,0,0.5932,Medium
45.51,33.16,78.38,7.69,9.87,0.307,75.15,1460.7,60.0,5.25,Suburban,0,0.4397,Medium
149.84,11.71,58.43,7.86,30.7,0.447,75.79,916.2,99.62,21.57,Urban,1,0.7705,High
